date,Brazil,Canada,Colombia,France,Germany,Mexico,Peru,Spain,England,United States
2022/10/11,0,0,0,0,6,0,0,20,0,0
2022/10/12,121,0,277,0,0,0,181,0,0,0
2022/10/13,60,0,0,21,0,179,0,0,0,240
2022/10/14,22,0,0,0,0,0,0,0,0,74
2022/10/15,78,0,0,0,0,0,17,0,0,220
2022/10/16,31,0,0,0,0,0,0,0,0,0
2022/10/17,0,0,0,0,0,0,0,0,19,0
2022/10/18,0,0,0,0,0,0,35,0,0,0
2022/10/19,73,0,380,20,5,321,93,38,13,239
2022/10/20,53,0,0,0,0,0,0,0,0,77
2022/10/21,82,0,0,0,0,0,0,0,0,0
2022/10/22,30,25,0,0,0,0,29,0,0,245
2022/10/23,88,0,0,0,0,0,0,0,0,0
2022/10/24,0,0,0,0,0,0,0,0,0,0
2022/10/25,0,0,0,0,6,0,39,40,12,0
2022/10/26,48,0,188,10,0,186,67,0,0,120
2022/10/27,19,0,0,0,0,0,0,0,0,57
2022/10/28,25,0,0,0,0,0,0,0,0,183
2022/10/29,92,0,0,0,0,0,0,0,0,0
2022/10/30,21,0,0,0,0,0,0,0,0,0
2022/10/31,0,0,0,0,0,0,0,0,0,0
